distribution,category,left_keV,right_keV,base_or_matched_mass,normalizing_class_mass,density_per_keV
retained,0nubb,2400.0,2450.0,4914.0,99139.0,0.0009913353977748414
retained,0nubb,2450.0,2500.0,6310.0,99139.0,0.0012729601872118945
retained,0nubb,2500.0,2550.0,8162.0,99139.0,0.0016465770282129133
retained,0nubb,2550.0,2600.0,10725.0,99139.0,0.002163628844349852
retained,0nubb,2600.0,2650.0,14051.0,99139.0,0.0028346059572922867
retained,0nubb,2650.0,2700.0,18200.0,99139.0,0.0036716125843512643
retained,0nubb,2700.0,2750.0,15232.0,99139.0,0.0030728573013647504
retained,0nubb,2750.0,2800.0,0.0,99139.0,0.0
retained,0nubb,2800.0,2850.0,0.0,99139.0,0.0
retained,0nubb,2850.0,2900.0,0.0,99139.0,0.0
retained,0nubb,2900.0,2950.0,0.0,99139.0,0.0
retained,0nubb,2950.0,3000.0,0.0,99139.0,0.0
retained,0nubb,3000.0,3050.0,0.0,99139.0,0.0
retained,0nubb,3050.0,3100.0,0.0,99139.0,0.0
retained,0nubb,3100.0,3150.0,0.0,99139.0,0.0
retained,0nubb,3150.0,3200.0,0.0,99139.0,0.0
retained,0nubb,3200.0,3250.0,0.0,99139.0,0.0
retained,0nubb,3250.0,3300.0,0.0,99139.0,0.0
retained,Bi214,0.0,50.0,0.0,150591.0,0.0
retained,Bi214,50.0,100.0,0.0,150591.0,0.0
retained,Bi214,100.0,150.0,0.0,150591.0,0.0
retained,Bi214,150.0,200.0,0.0,150591.0,0.0
retained,Bi214,200.0,250.0,0.0,150591.0,0.0
retained,Bi214,250.0,300.0,0.0,150591.0,0.0
retained,Bi214,300.0,350.0,0.0,150591.0,0.0
retained,Bi214,350.0,400.0,0.0,150591.0,0.0
retained,Bi214,400.0,450.0,0.0,150591.0,0.0
retained,Bi214,450.0,500.0,0.0,150591.0,0.0
retained,Bi214,500.0,550.0,0.0,150591.0,0.0
retained,Bi214,550.0,600.0,0.0,150591.0,0.0
retained,Bi214,600.0,650.0,0.0,150591.0,0.0
retained,Bi214,650.0,700.0,0.0,150591.0,0.0
retained,Bi214,700.0,750.0,0.0,150591.0,0.0
retained,Bi214,750.0,800.0,0.0,150591.0,0.0
retained,Bi214,800.0,850.0,0.0,150591.0,0.0
retained,Bi214,850.0,900.0,0.0,150591.0,0.0
retained,Bi214,900.0,950.0,0.0,150591.0,0.0
retained,Bi214,950.0,1000.0,0.0,150591.0,0.0
retained,Bi214,1000.0,1050.0,0.0,150591.0,0.0
retained,Bi214,1050.0,1100.0,0.0,150591.0,0.0
retained,Bi214,1100.0,1150.0,0.0,150591.0,0.0
retained,Bi214,1150.0,1200.0,0.0,150591.0,0.0
retained,Bi214,1200.0,1250.0,2822.0,150591.0,0.0003747899940899523
retained,Bi214,1250.0,1300.0,2105.0,150591.0,0.00027956517985802605
retained,Bi214,1300.0,1350.0,5972.0,150591.0,0.0007931416884143143
retained,Bi214,1350.0,1400.0,4028.0,150591.0,0.0005349589284884223
retained,Bi214,1400.0,1450.0,5764.0,150591.0,0.0007655171955827374
retained,Bi214,1450.0,1500.0,7411.0,150591.0,0.000984255367186618
retained,Bi214,1500.0,1550.0,8213.0,150591.0,0.0010907690366622174
retained,Bi214,1550.0,1600.0,8168.0,150591.0,0.0010847925838861551
retained,Bi214,1600.0,1650.0,7880.0,150591.0,0.0010465432861193565
retained,Bi214,1650.0,1700.0,8115.0,150591.0,0.0010777536506165707
retained,Bi214,1700.0,1750.0,7878.0,150591.0,0.001046277665995976
retained,Bi214,1750.0,1800.0,7610.0,150591.0,0.0010106845694629824
retained,Bi214,1800.0,1850.0,7406.0,150591.0,0.0009835913168781667
retained,Bi214,1850.0,1900.0,7263.0,150591.0,0.0009645994780564576
retained,Bi214,1900.0,1950.0,6637.0,150591.0,0.0008814603794383462
retained,Bi214,1950.0,2000.0,6383.0,150591.0,0.0008477266237690167
retained,Bi214,2000.0,2050.0,6104.0,150591.0,0.0008106726165574305
retained,Bi214,2050.0,2100.0,5488.0,150591.0,0.0007288616185562218
retained,Bi214,2100.0,2150.0,5150.0,150591.0,0.0006839718177049093
retained,Bi214,2150.0,2200.0,4712.0,150591.0,0.0006258010106845695
retained,Bi214,2200.0,2250.0,4391.0,150591.0,0.0005831689808819916
retained,Bi214,2250.0,2300.0,3899.0,150591.0,0.000517826430530377
retained,Bi214,2300.0,2350.0,3401.0,150591.0,0.0004516870198086207
retained,Bi214,2350.0,2400.0,2996.0,150591.0,0.0003978989448240599
retained,Bi214,2400.0,2450.0,2662.0,150591.0,0.0003535403842195085
retained,Bi214,2450.0,2500.0,2181.0,150591.0,0.00028965874454648684
retained,Bi214,2500.0,2550.0,1862.0,150591.0,0.0002472923348672896
retained,Bi214,2550.0,2600.0,1475.0,150591.0,0.00019589484099315365
retained,Bi214,2600.0,2650.0,1181.0,150591.0,0.00015684868285621318
retained,Bi214,2650.0,2700.0,928.0,150591.0,0.00012324773724857395
retained,Bi214,2700.0,2750.0,506.0,150591.0,6.720189121527848e-05
retained,Bi214,2750.0,2800.0,0.0,150591.0,0.0
retained,Bi214,2800.0,2850.0,0.0,150591.0,0.0
retained,Bi214,2850.0,2900.0,0.0,150591.0,0.0
retained,Bi214,2900.0,2950.0,0.0,150591.0,0.0
retained,Bi214,2950.0,3000.0,0.0,150591.0,0.0
retained,Bi214,3000.0,3050.0,0.0,150591.0,0.0
retained,Bi214,3050.0,3100.0,0.0,150591.0,0.0
retained,Bi214,3100.0,3150.0,0.0,150591.0,0.0
retained,Bi214,3150.0,3200.0,0.0,150591.0,0.0
retained,Bi214,3200.0,3250.0,0.0,150591.0,0.0
retained,Bi214,3250.0,3300.0,0.0,150591.0,0.0
matched,0nubb,0.0,50.0,0.0,1.0,0.0
matched,0nubb,50.0,100.0,0.0,1.0,0.0
matched,0nubb,100.0,150.0,0.0,1.0,0.0
matched,0nubb,150.0,200.0,0.0,1.0,0.0
matched,0nubb,200.0,250.0,0.0,1.0,0.0
matched,0nubb,250.0,300.0,0.0,1.0,0.0
matched,0nubb,300.0,350.0,0.0,1.0,0.0
matched,0nubb,350.0,400.0,0.0,1.0,0.0
matched,0nubb,400.0,450.0,0.0,1.0,0.0
matched,0nubb,450.0,500.0,0.0,1.0,0.0
matched,0nubb,500.0,550.0,0.0,1.0,0.0
matched,0nubb,550.0,600.0,0.0,1.0,0.0
matched,0nubb,600.0,650.0,0.0,1.0,0.0
matched,0nubb,650.0,700.0,0.0,1.0,0.0
matched,0nubb,700.0,750.0,0.0,1.0,0.0
matched,0nubb,750.0,800.0,0.0,1.0,0.0
matched,0nubb,800.0,850.0,0.0,1.0,0.0
matched,0nubb,850.0,900.0,0.0,1.0,0.0
matched,0nubb,900.0,950.0,0.0,1.0,0.0
matched,0nubb,950.0,1000.0,0.0,1.0,0.0
matched,0nubb,1000.0,1050.0,0.0,1.0,0.0
matched,0nubb,1050.0,1100.0,0.0,1.0,0.0
matched,0nubb,1100.0,1150.0,0.0,1.0,0.0
matched,0nubb,1150.0,1200.0,0.0,1.0,0.0
matched,0nubb,1200.0,1250.0,0.003898684986127692,1.0,7.797369972255385e-05
matched,0nubb,1250.0,1300.0,0.00287271525293619,1.0,5.7454305058723795e-05
matched,0nubb,1300.0,1350.0,0.007633214814944731,1.0,0.00015266429629889463
matched,0nubb,1350.0,1400.0,0.004842577140663863,1.0,9.685154281327726e-05
matched,0nubb,1400.0,1450.0,0.007222826921668195,1.0,0.0001444565384333639
matched,0nubb,1450.0,1500.0,0.00984930943863857,1.0,0.0001969861887727714
matched,0nubb,1500.0,1550.0,0.012352675587625789,1.0,0.00024705351175251575
matched,0nubb,1550.0,1600.0,0.013173451374178538,1.0,0.00026346902748357077
matched,0nubb,1600.0,1650.0,0.014281498686025323,1.0,0.0002856299737205065
matched,0nubb,1650.0,1700.0,0.015758895101821047,1.0,0.0003151779020364209
matched,0nubb,1700.0,1750.0,0.019000959458706113,1.0,0.00038001918917412227
matched,0nubb,1750.0,1800.0,0.01957550250929331,1.0,0.00039151005018586623
matched,0nubb,1800.0,1850.0,0.022078868658280543,1.0,0.00044157737316561084
matched,0nubb,1850.0,1900.0,0.023884575388697538,1.0,0.00047769150777395074
matched,0nubb,1900.0,1950.0,0.027167678534912976,1.0,0.0005433535706982595
matched,0nubb,1950.0,2000.0,0.030491820470455788,1.0,0.0006098364094091158
matched,0nubb,2000.0,2050.0,0.038330229232039964,1.0,0.0007666045846407993
matched,0nubb,2050.0,2100.0,0.04411669852724087,1.0,0.0008823339705448175
matched,0nubb,2100.0,2150.0,0.05220134002479104,1.0,0.0010440268004958209
matched,0nubb,2150.0,2200.0,0.05979351605039107,1.0,0.0011958703210078214
matched,0nubb,2200.0,2250.0,0.07522410083758613,1.0,0.0015044820167517225
matched,0nubb,2250.0,2300.0,0.08950329716858985,1.0,0.0017900659433717969
matched,0nubb,2300.0,2350.0,0.08046426608892387,1.0,0.0016092853217784776
matched,0nubb,2350.0,2400.0,0.07088237024473609,1.0,0.0014176474048947219
matched,0nubb,2400.0,2450.0,0.06298026354856767,1.0,0.0012596052709713534
matched,0nubb,2450.0,2500.0,0.05160028354598978,1.0,0.0010320056709197955
matched,0nubb,2500.0,2550.0,0.04405306188108615,1.0,0.000881061237621723
matched,0nubb,2550.0,2600.0,0.034897028074430625,1.0,0.0006979405614886125
matched,0nubb,2600.0,2650.0,0.027941281461768996,1.0,0.0005588256292353799
matched,0nubb,2650.0,2700.0,0.02195555393452331,1.0,0.00043911107869046615
matched,0nubb,2700.0,2750.0,0.011971455054781144,1.0,0.00023942910109562288
matched,0nubb,2750.0,2800.0,0.0,1.0,0.0
matched,0nubb,2800.0,2850.0,0.0,1.0,0.0
matched,0nubb,2850.0,2900.0,0.0,1.0,0.0
matched,0nubb,2900.0,2950.0,0.0,1.0,0.0
matched,0nubb,2950.0,3000.0,0.0,1.0,0.0
matched,0nubb,3000.0,3050.0,0.0,1.0,0.0
matched,0nubb,3050.0,3100.0,0.0,1.0,0.0
matched,0nubb,3100.0,3150.0,0.0,1.0,0.0
matched,0nubb,3150.0,3200.0,0.0,1.0,0.0
matched,0nubb,3200.0,3250.0,0.0,1.0,0.0
matched,0nubb,3250.0,3300.0,0.0,1.0,0.0
matched,Bi214,0.0,50.0,0.0,1.0,0.0
matched,Bi214,50.0,100.0,0.0,1.0,0.0
matched,Bi214,100.0,150.0,0.0,1.0,0.0
matched,Bi214,150.0,200.0,0.0,1.0,0.0
matched,Bi214,200.0,250.0,0.0,1.0,0.0
