distribution,fpr,tpr,threshold_keV
original,0.000133514404296875,0.0032246907552083335,3005.125
original,0.0001373291015625,0.0032246907552083335,3005.0625
original,0.0001373291015625,0.0032450358072916665,3005.0
original,0.0001373291015625,0.0032501220703125,3004.875
original,0.0001373291015625,0.0032602945963541665,3004.8125
original,0.0001373291015625,0.0032806396484375,3004.75
original,0.0001373291015625,0.0032857259114583335,3004.6875
original,0.0001373291015625,0.0032908121744791665,3004.625
original,0.0001373291015625,0.0033162434895833335,3004.5
original,0.0001373291015625,0.0033213297526041665,3004.4375
original,0.0001373291015625,0.0033315022786458335,3004.375
original,0.0001373291015625,0.0033467610677083335,3004.25
original,0.0001373291015625,0.0033620198567708335,3004.125
original,0.0001373291015625,0.0034027099609375,3004.0
original,0.0001373291015625,0.0034077962239583335,3003.875
original,0.0001373291015625,0.00341796875,3003.75
original,0.0001373291015625,0.0034637451171875,3003.5
original,0.0001373291015625,0.00347900390625,3003.25
original,0.0001373291015625,0.0034891764322916665,3003.125
original,0.00014495849609375,0.0035146077473958335,3003.0
original,0.00014495849609375,0.0035196940104166665,3002.875
original,0.00014495849609375,0.0035603841145833335,3002.75
original,0.00014495849609375,0.0035654703776041665,3002.6875
original,0.00014495849609375,0.0035756429036458335,3002.625
original,0.00014495849609375,0.00360107421875,3002.5
original,0.00014495849609375,0.0036061604817708335,3002.375
original,0.00014495849609375,0.0036214192708333335,3002.25
original,0.000148773193359375,0.0036468505859375,3002.0
original,0.000148773193359375,0.0036570231119791665,3001.9375
original,0.000148773193359375,0.003662109375,3001.875
original,0.000148773193359375,0.0036824544270833335,3001.75
original,0.000148773193359375,0.0036875406901041665,3001.625
original,0.000148773193359375,0.0036977132161458335,3001.5
original,0.000148773193359375,0.0037027994791666665,3001.375
original,0.000148773193359375,0.0037078857421875,3001.25
original,0.000148773193359375,0.0037384033203125,3001.0
original,0.000148773193359375,0.0037434895833333335,3000.875
original,0.000152587890625,0.0037841796875,3000.75
original,0.000152587890625,0.0037943522135416665,3000.625
original,0.000152587890625,0.0038248697916666665,3000.5
original,0.000152587890625,0.0038299560546875,3000.375
original,0.000152587890625,0.0038553873697916665,3000.25
original,0.000152587890625,0.00390625,3000.0
original,0.000152587890625,0.003916422526041667,2999.875
original,0.000152587890625,0.003931681315104167,2999.75
original,0.000152587890625,0.003936767578125,2999.6875
original,0.000152587890625,0.003941853841145833,2999.65625
original,0.000152587890625,0.003946940104166667,2999.5625
original,0.000152587890625,0.003972371419270833,2999.5
original,0.000152587890625,0.004007975260416667,2999.375
original,0.000152587890625,0.004038492838541667,2999.25
original,0.000152587890625,0.0040435791015625,2999.1875
original,0.000152587890625,0.004048665364583333,2999.125
original,0.000152587890625,0.0040740966796875,2999.0
original,0.000152587890625,0.0041046142578125,2998.75
original,0.000152587890625,0.004109700520833333,2998.65625
original,0.000152587890625,0.004114786783854167,2998.625
original,0.000152587890625,0.004145304361979167,2998.5
original,0.000152587890625,0.004150390625,2998.375
original,0.000156402587890625,0.004201253255208333,2998.25
original,0.000156402587890625,0.004206339518229167,2998.125
original,0.000156402587890625,0.004236857096354167,2998.0
original,0.000156402587890625,0.004241943359375,2997.875
original,0.000156402587890625,0.0042724609375,2997.75
original,0.000156402587890625,0.004277547200520833,2997.625
original,0.000156402587890625,0.004282633463541667,2997.5625
original,0.00016021728515625,0.004328409830729167,2997.5
original,0.00016021728515625,0.004338582356770833,2997.375
original,0.00016021728515625,0.004364013671875,2997.25
original,0.00016021728515625,0.0043792724609375,2997.125
