distribution,fpr,tpr,threshold_keV
original,0.000110626220703125,0.0023193359375,3015.0
original,0.000110626220703125,0.0023295084635416665,3014.875
original,0.000110626220703125,0.002349853515625,3014.75
original,0.000110626220703125,0.0023651123046875,3014.625
original,0.000110626220703125,0.0023701985677083335,3014.5
original,0.000110626220703125,0.0023752848307291665,3014.125
original,0.000110626220703125,0.00238037109375,3014.0
original,0.000110626220703125,0.0023854573567708335,3013.875
original,0.00011444091796875,0.0024058024088541665,3013.75
original,0.00011444091796875,0.002410888671875,3013.5625
original,0.00011444091796875,0.0024261474609375,3013.5
original,0.000118255615234375,0.0024464925130208335,3013.25
original,0.000118255615234375,0.0024820963541666665,3013.0
original,0.000118255615234375,0.0024871826171875,3012.875
original,0.000118255615234375,0.0024922688802083335,3012.75
original,0.000118255615234375,0.0024973551432291665,3012.625
original,0.000118255615234375,0.00250244140625,3012.53125
original,0.000118255615234375,0.0025278727213541665,3012.5
original,0.000118255615234375,0.0025431315104166665,3012.375
original,0.000118255615234375,0.0025482177734375,3012.25
original,0.000118255615234375,0.0025634765625,3012.0
original,0.000118255615234375,0.0025685628255208335,3011.8125
original,0.000118255615234375,0.0025787353515625,3011.75
original,0.000118255615234375,0.002593994140625,3011.5
original,0.000118255615234375,0.0026041666666666665,3011.375
original,0.000118255615234375,0.0026346842447916665,3011.25
original,0.000118255615234375,0.0026397705078125,3011.1875
original,0.000118255615234375,0.002655029296875,3011.125
original,0.0001220703125,0.0026702880859375,3011.0
original,0.0001220703125,0.0026753743489583335,3010.875
original,0.0001220703125,0.0027008056640625,3010.75
original,0.0001220703125,0.0027058919270833335,3010.625
original,0.0001220703125,0.0027211507161458335,3010.5
original,0.0001220703125,0.0027262369791666665,3010.4375
original,0.0001220703125,0.0027313232421875,3010.375
original,0.0001220703125,0.0027364095052083335,3010.3125
original,0.000125885009765625,0.0027516682942708335,3010.25
original,0.000125885009765625,0.0027618408203125,3010.125
original,0.000125885009765625,0.0027669270833333335,3010.0625
original,0.000125885009765625,0.0027720133463541665,3010.0
original,0.000125885009765625,0.002777099609375,3009.875
original,0.000125885009765625,0.0027821858723958335,3009.625
original,0.000125885009765625,0.0027923583984375,3009.5
original,0.00012969970703125,0.0027923583984375,3009.3125
original,0.00012969970703125,0.0028177897135416665,3009.25
original,0.00012969970703125,0.0028228759765625,3009.125
original,0.00012969970703125,0.0028584798177083335,3009.0
original,0.00012969970703125,0.00286865234375,3008.75
original,0.00012969970703125,0.0028737386067708335,3008.625
original,0.000133514404296875,0.0028839111328125,3008.5
original,0.000133514404296875,0.0029042561848958335,3008.375
original,0.000133514404296875,0.0029093424479166665,3008.3125
original,0.000133514404296875,0.0029144287109375,3008.25
original,0.000133514404296875,0.0029246012369791665,3008.125
original,0.000133514404296875,0.0029449462890625,3008.0
original,0.000133514404296875,0.002960205078125,3007.75
original,0.000133514404296875,0.0029703776041666665,3007.5
original,0.000133514404296875,0.0029754638671875,3007.4375
original,0.000133514404296875,0.0029856363932291665,3007.375
original,0.000133514404296875,0.00299072265625,3007.25
original,0.000133514404296875,0.0030008951822916665,3007.125
original,0.000133514404296875,0.0030059814453125,3007.0
original,0.000133514404296875,0.0030110677083333335,3006.875
original,0.000133514404296875,0.0030263264973958335,3006.75
original,0.000133514404296875,0.0030364990234375,3006.625
original,0.000133514404296875,0.0030517578125,3006.5
original,0.000133514404296875,0.0030619303385416665,3006.375
original,0.000133514404296875,0.0030924479166666665,3006.25
original,0.000133514404296875,0.0031026204427083335,3006.125
original,0.000133514404296875,0.0031280517578125,3006.0
original,0.000133514404296875,0.0031534830729166665,3005.75
original,0.000133514404296875,0.0031585693359375,3005.625
original,0.000133514404296875,0.0031789143880208335,3005.5
original,0.000133514404296875,0.0031840006510416665,3005.375
original,0.000133514404296875,0.0032196044921875,3005.25
