run_id,tokenization,position_encoding,num_tokens,feature_dim,parameter_count,rope_base,rope_time_axis_only,n_train,n_val,n_test,epochs_completed,best_epoch,best_val_rmse_scaled,test_rmse_ms,test_mae_ms,test_bias_ms,test_r2,test_median_abs_error_ms,test_rmse_ms_pileup_only,test_mae_ms_pileup_only,test_bias_ms_pileup_only,test_r2_pileup,test_rmse_ms_clean,test_mae_ms_clean,test_bias_ms_clean,test_frac_within_100ms,test_frac_within_250ms,training_seconds,minutes_per_epoch,evaluation_seconds,d_model,dim_feedforward,dropout,dt_scale,gpu_name,hostname,nhead,num_frequencies,num_layers,patch_size,seed,slurm_array_task_id,slurm_job_id,split_seed,stopped_early,task,test_ers_DEGENERATE,test_frac_res68_DEGENERATE,test_rmse_scaled,token_count,torch_version,train_weight_sum
regression__raw_patches__rope_base16,raw_patches,rope,500,20,107841,16.0,False,7650,1350,1000,23,18,0.20498997909827588,584.9062729525334,210.02178738527832,-62.34249485047096,0.9246545249183336,69.20050084590912,809.9652850723185,354.46037054894776,-196.3674180750962,0.8280976743059189,191.9780403761417,69.57164636025063,67.98154292021982,0.608,0.837,91.706,0.0665,1.01,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,2,3642000,,True,regression,0.0,9490.252689146393,0.19496875765084445,500,2.5.1.post303,7650.0
regression__raw_patches__rope_seed3,raw_patches,rope,500,20,107841,8.0,False,7650,1350,1000,19,14,0.19073311345090813,638.8528776514235,291.0674367281866,129.28023723004824,0.9101151851421556,188.51341531517483,814.7235767333904,345.2162067746438,17.04744511513402,0.8260719972771394,399.43788804132396,238.41389899070447,238.41389899070447,0.202,0.694,116.525,0.1022,1.491,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,3,2,3642834,3,True,regression,0.0,37601.69319196877,0.21295095921714113,500,2.5.1.post303,7650.0
regression__pulse_entities__fourier_coordinates_seed2,pulse_entities,fourier_coordinates,500,2,113409,,,7650,1350,1000,16,11,0.1955942210579783,588.5367924673419,206.39977726140327,19.42604397474295,0.9237162817393179,72.4928230047226,815.7827384718879,335.0838253623151,-44.17324012786805,0.8256194815159377,189.89942437239165,81.26913482797217,81.26913482797217,0.587,0.83,27.833,0.029,1.195,64,256,0.1,3000.0,NVIDIA L40S,gpu-n60.crc.pitt.edu,4,6,2,20,2,7,3642866,2,True,regression,0.0,9412.460409248564,0.1961789308224473,500,2.5.1.post303,7650.0
regression__segment_summary__rope_base4,segment_summary,rope,500,2,106689,4.0,False,7650,1350,1000,20,15,0.20657737678714078,605.693500157882,227.78851260314883,-31.26679041698137,0.9192038914840398,84.48543304195982,818.3293127089006,362.1861034400731,-163.2810426453837,0.8245290783211234,269.12387681131554,97.10209784456171,97.10209784456171,0.572,0.816,125.04,0.1042,2.286,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,5,3641996,,True,regression,0.0,12752.583493724847,0.20189783338596068,500,2.5.1.post303,7650.0
regression__raw_patches__rope_base32,raw_patches,rope,500,20,107841,32.0,False,7650,1350,1000,14,9,0.21472553841080833,607.216486881106,306.8221205748222,69.57582857696778,0.9187970649161661,175.80528718180585,821.8327451889627,409.53219135946904,-71.69760985321727,0.8230234095100208,265.4875119558037,206.94822531480057,206.94822531480057,0.143,0.715,59.664,0.071,1.073,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,2,3642002,,True,regression,0.0,29468.857874076664,0.20240549562703533,500,2.5.1.post303,7650.0
regression__segment_summary__fourier_coordinates_seed4,segment_summary,fourier_coordinates,500,2,113409,,,7650,1350,1000,12,7,0.17246169298971314,592.5388116412811,220.61257272027152,87.05047079040175,0.922675303906544,92.62818608475982,822.0082795853664,335.9283176014562,65.01127514735933,0.8229478009466175,188.33496916656802,108.48108903896174,108.48108903896174,0.558,0.843,25.389,0.0353,1.193,64,256,0.1,3000.0,NVIDIA L40S,gpu-n61.crc.pitt.edu,4,6,2,20,4,4,3642857,4,True,regression,0.0,14239.034578389052,0.19751293721376037,500,2.5.1.post303,7650.0
regression__raw_patches__rope_base4_seed2,raw_patches,rope,500,20,107841,4.0,False,7650,1350,1000,14,9,0.19999766329324387,612.5295062830522,219.45176673404464,-54.36776878820295,0.9173698301392198,62.63125933999572,822.22651024629,367.63558103227973,-187.37732745513463,0.822853779150716,287.46519909612203,75.3598131856622,74.96894210488838,0.598,0.777,95.394,0.1136,1.887,64,256,0.1,3000.0,NVIDIA L40S,gpu-n61.crc.pitt.edu,4,6,2,20,2,2,3642694,2,True,regression,0.0,7328.554303011555,0.20417650209435076,500,2.5.1.post303,7650.0
regression__pulse_entities__rope_seed2,pulse_entities,rope,500,2,106689,8.0,False,7650,1350,1000,21,16,0.20843507293723956,625.4986872627435,274.1207398270084,-18.463748944415986,0.913833704370141,140.37701860070229,824.484100251968,379.44100664577456,-214.03665820498483,0.8218796617550297,332.7016011870634,171.7087249519557,171.7087249519557,0.126,0.77,124.457,0.0988,1.603,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,2,8,3642646,2,True,regression,0.0,21963.690146096847,0.2084995624209145,500,2.5.1.post303,7650.0
regression__segment_summary__rope_timeonly,segment_summary,rope,500,2,106689,8.0,True,7650,1350,1000,20,15,0.21326794090871118,610.4454786360576,284.81736514363246,-34.58626726405257,0.917931143871921,142.4396876245737,826.3377514355457,410.72827275373544,-237.1492777689523,0.8210778412411724,266.4933406865898,162.3832873294692,162.3832873294692,0.242,0.719,81.97,0.0683,1.111,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,5,3642190,,True,regression,0.0,22189.85225451416,0.20348182621201918,500,2.5.1.post303,7650.0
regression__pulse_entities__fourier_coordinates_seed4,pulse_entities,fourier_coordinates,500,2,113409,,,7650,1350,1000,27,22,0.1785152552608539,621.1106598995666,199.92886383062893,20.90884053199058,0.9150384193859906,69.22084829441883,826.5125748744715,316.86563657560265,-46.24751003443095,0.8210021262060536,310.87709121815396,86.22111439616722,86.21077510643993,0.603,0.855,36.388,0.0225,1.136,64,256,0.1,3000.0,NVIDIA L40S,gpu-n60.crc.pitt.edu,4,6,2,20,4,7,3642886,4,True,regression,0.0,9385.01408652886,0.20703688663318887,500,2.5.1.post303,7650.0
regression__pulse_entities__rope_seed3,pulse_entities,rope,500,2,106689,8.0,False,7650,1350,1000,20,15,0.19391962241948896,664.9892893318412,202.63313707162283,70.24892486123807,0.902610100373024,37.509821355342865,828.9895860388397,341.16163647721584,77.8481158764997,0.8199276256184038,451.62309559770944,67.92988222555296,62.85957344008621,0.668,0.841,84.27,0.0702,1.208,64,256,0.1,3000.0,NVIDIA L40S,gpu-n60.crc.pitt.edu,4,6,2,20,3,8,3642648,3,True,regression,0.0,3765.395241434992,0.22166309644394708,500,2.5.1.post303,7650.0
regression__raw_patches__coordinate_mlp,raw_patches,coordinate_mlp,500,20,112257,,,7650,1350,1000,48,43,0.19153724526385604,607.6515346076369,188.2586001503746,-66.59345593438977,0.9186806655484087,51.92491996433273,837.9439155209724,313.69245011750485,-154.48496469078384,0.8160165133106541,213.36246150973594,66.28840678983187,18.871068359303052,0.677,0.853,91.274,0.0317,2.618,64,256,0.1,3000.0,NVIDIA L40S,gpu-n55.crc.pitt.edu,4,6,2,20,,0,3641604,,True,regression,0.0,5746.072897424568,0.20255051153587894,500,2.5.1.post303,7650.0
